"","fullName","country","politicalGroup","PoliticalInfluence","SocialInfluence","OverallInfluence"
"329","Ádám KÓSA","Hungary","Non-attached Members",55,42,48
"330","Stelios KOULOGLOU","Greece","The Left group in the European Parliament - GUE/NGL",75,18,46
"331","Elena KOUNTOURA","Greece","The Left group in the European Parliament - GUE/NGL",53,97,75
"332","Ondřej KOVAŘÍK","Czechia","Renew Europe Group",54,54,54
"333","Andrey KOVATCHEV","Bulgaria","Group of the European People's Party (Christian Democrats)",49,80,64
"334","Maximilian KRAH","Germany","Identity and Democracy Group",72,34,53
"335","Zdzisław KRASNODĘBSKI","Poland","European Conservatives and Reformists Group",34,54,44
"336","Constanze KREHL","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,90,78
"337","Elżbieta KRUK","Poland","European Conservatives and Reformists Group",80,69,74
"338","Andrius KUBILIUS","Lithuania","Group of the European People's Party (Christian Democrats)",23,38,30
"339","Alice KUHNKE","Sweden","Group of the Greens/European Free Alliance",83,52,68
"340","Joachim KUHS","Germany","Identity and Democracy Group",89,39,64
"341","Miapetra KUMPULA-NATRI","Finland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",8,9,8
"342","Zbigniew KUŹMIUK","Poland","European Conservatives and Reformists Group",14,84,49
"343","Stelios KYMPOUROPOULOS","Greece","Group of the European People's Party (Christian Democrats)",16,96,56
"344","Georgios KYRTSOS","Greece","Group of the European People's Party (Christian Democrats)",62,4,33
"345","Ilhan KYUCHYUK","Bulgaria","Renew Europe Group",72,1,36
"346","Jean-Lin LACAPELLE","France","Identity and Democracy Group",93,95,94
"347","Sergey LAGODINSKY","Germany","Group of the Greens/European Free Alliance",54,82,68
"348","Ioannis LAGOS","Greece","Non-attached Members",59,76,68
"349","Aurore LALUCQ","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",15,76,46
"350","Philippe LAMBERTS","Belgium","Group of the Greens/European Free Alliance",12,82,47
"351","Danilo Oscar LANCINI","Italy","Identity and Democracy Group",52,61,56
"352","Bernd LANGE","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",90,83,86
"353","Esther de LANGE","Netherlands","Group of the European People's Party (Christian Democrats)",42,14,28
"354","Katrin LANGENSIEPEN","Germany","Group of the Greens/European Free Alliance",40,50,45
"355","Hélène LAPORTE","France","Identity and Democracy Group",70,60,65
"356","Pierre LARROUTUROU","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",57,20,38
"357","Gilles LEBRETON","France","Identity and Democracy Group",57,58,58
"358","Julie LECHANTEUX","France","Identity and Democracy Group",68,10,39
"359","David LEGA","Sweden","Group of the European People's Party (Christian Democrats)",8,9,8
"360","Ryszard Antoni LEGUTKO","Poland","European Conservatives and Reformists Group",61,46,54
"361","Maria-Manuel LEITÃO-MARQUES","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",75,43,59
"362","Jeroen LENAERS","Netherlands","Group of the European People's Party (Christian Democrats)",59,0,30
"363","Janusz LEWANDOWSKI","Poland","Group of the European People's Party (Christian Democrats)",45,75,60
"364","Miriam LEXMANN","Slovakia","Group of the European People's Party (Christian Democrats)",44,22,33
"365","Bogusław LIBERADZKI","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",89,100,94
"366","Peter LIESE","Germany","Group of the European People's Party (Christian Democrats)",26,59,42
"367","Sylvia LIMMER","Germany","Identity and Democracy Group",84,6,45
"368","Norbert LINS","Germany","Group of the European People's Party (Christian Democrats)",19,17,18
"369","Elena LIZZI","Italy","Identity and Democracy Group",25,7,16
"370","Nathalie LOISEAU","France","Renew Europe Group",35,24,30
"371","Morten LØKKEGAARD","Denmark","Renew Europe Group",98,34,66
"372","Javi LÓPEZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",100,78,89
"373","Juan Fernando LÓPEZ AGUILAR","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",74,99,86
"374","Leopoldo LÓPEZ GIL","Spain","Group of the European People's Party (Christian Democrats)",1,52,26
"375","Antonio LÓPEZ-ISTÚRIZ WHITE","Spain","Group of the European People's Party (Christian Democrats)",41,46,44
"376","César LUENA","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",99,85,92
"377","Elżbieta Katarzyna ŁUKACIJEWSKA","Poland","Group of the European People's Party (Christian Democrats)",62,82,72
"378","Benoît LUTGEN","Belgium","Group of the European People's Party (Christian Democrats)",8,34,21
"379","David McALLISTER","Germany","Group of the European People's Party (Christian Democrats)",54,17,36
"380","Chris MACMANUS","Ireland","The Left group in the European Parliament - GUE/NGL",57,71,64
"381","Jaak MADISON","Estonia","Identity and Democracy Group",85,31,58
"382","Cristina MAESTRE MARTÍN DE ALMAGRO","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",24,72,48
"383","Pierfrancesco MAJORINO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",9,61,35
"384","Aušra MALDEIKIENĖ","Lithuania","Group of the European People's Party (Christian Democrats)",18,71,44
"385","Adriana MALDONADO LÓPEZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",26,28,27
"386","Claudiu MANDA","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",91,26,58
"387","Antonius MANDERS","Netherlands","Group of the European People's Party (Christian Democrats)",26,23,24
"388","Lukas MANDL","Austria","Group of the European People's Party (Christian Democrats)",15,61,38
"389","Thierry MARIANI","France","Identity and Democracy Group",65,76,70
"390","Marian-Jean MARINESCU","Romania","Group of the European People's Party (Christian Democrats)",49,64,56
"391","Colm MARKEY","Ireland","Group of the European People's Party (Christian Democrats)",3,95,49
"392","Erik MARQUARDT","Germany","Group of the Greens/European Free Alliance",4,62,33
"393","Margarida MARQUES","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",27,41,34
"394","Pedro MARQUES","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",27,25,26
"395","Fulvio MARTUSCIELLO","Italy","Group of the European People's Party (Christian Democrats)",52,91,72
"396","Marisa MATIAS","Portugal","The Left group in the European Parliament - GUE/NGL",52,96,74
"397","Predrag Fred MATIĆ","Croatia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",87,24,56
"398","Gabriel MATO","Spain","Group of the European People's Party (Christian Democrats)",60,28,44
"399","Sara MATTHIEU","Belgium","Group of the Greens/European Free Alliance",47,9,28
"400","Emmanuel MAUREL","France","The Left group in the European Parliament - GUE/NGL",47,73,60
"401","Costas MAVRIDES","Cyprus","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",46,18,32
"402","Radka MAXOVÁ","Czechia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",29,85,57
"403","Eva MAYDELL","Bulgaria","Group of the European People's Party (Christian Democrats)",61,31,46
"404","Georg MAYER","Austria","Identity and Democracy Group",96,46,71
"405","Beata MAZUREK","Poland","European Conservatives and Reformists Group",45,11,28
"406","Nora MEBAREK","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",57,12,34
"407","Vangelis MEIMARAKIS","Greece","Group of the European People's Party (Christian Democrats)",44,42,43
"408","Dace MELBĀRDE","Latvia","European Conservatives and Reformists Group",30,76,53
"409","Karen MELCHIOR","Denmark","Renew Europe Group",95,21,58
"410","Joëlle MÉLIN","France","Identity and Democracy Group",98,93,96
"411","Nuno MELO","Portugal","Group of the European People's Party (Christian Democrats)",66,23,44
"412","Roberta METSOLA","Malta","Group of the European People's Party (Christian Democrats)",71,19,45
"413","Tilly METZ","Luxembourg","Group of the Greens/European Free Alliance",17,84,50
"414","Jörg MEUTHEN","Germany","Identity and Democracy Group",80,94,87
"415","Martina MICHELS","Germany","The Left group in the European Parliament - GUE/NGL",52,95,74
"416","Iskra MIHAYLOVA","Bulgaria","Renew Europe Group",42,75,58
"417","Sven MIKSER","Estonia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",23,69,46
"418","Giuseppe MILAZZO","Italy","European Conservatives and Reformists Group",74,62,68
"419","Francisco José MILLÁN MON","Spain","Group of the European People's Party (Christian Democrats)",82,44,63
"420","Leszek MILLER","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",30,6,18
"421","Alin MITUȚA","Romania","Renew Europe Group",64,84,74
"422","Silvia MODIG","Finland","The Left group in the European Parliament - GUE/NGL",92,6,49
"423","Cláudia MONTEIRO DE AGUIAR","Portugal","Group of the European People's Party (Christian Democrats)",64,36,50
"424","Dolors MONTSERRAT","Spain","Group of the European People's Party (Christian Democrats)",6,40,23
"425","Nadine MORANO","France","Group of the European People's Party (Christian Democrats)",59,47,53
"426","Javier MORENO SÁNCHEZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",67,93,80
"427","Alessandra MORETTI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",39,15,27
"428","Dan-Ştefan MOTREANU","Romania","Group of the European People's Party (Christian Democrats)",27,61,44
"429","Ulrike MÜLLER","Germany","Renew Europe Group",7,64,36
"430","Siegfried MUREŞAN","Romania","Group of the European People's Party (Christian Democrats)",49,45,47
"431","Caroline NAGTEGAAL","Netherlands","Renew Europe Group",34,21,28
"432","Victor NEGRESCU","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",64,53,58
"433","Hannah NEUMANN","Germany","Group of the Greens/European Free Alliance",68,99,84
"434","Angelika NIEBLER","Germany","Group of the European People's Party (Christian Democrats)",82,89,86
"435","Luděk NIEDERMAYER","Czechia","Group of the European People's Party (Christian Democrats)",18,58,38
"436","Niklas NIENASS","Germany","Group of the Greens/European Free Alliance",59,89,74
"437","Ville NIINISTÖ","Finland","Group of the Greens/European Free Alliance",28,20,24
"438","Maria NOICHL","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",42,66,54
"439","Ljudmila NOVAK","Slovenia","Group of the European People's Party (Christian Democrats)",45,66,56
"440","Andrey NOVAKOV","Bulgaria","Group of the European People's Party (Christian Democrats)",55,57,56
"441","Janina OCHOJSKA","Poland","Group of the European People's Party (Christian Democrats)",53,50,52
"442","Jan-Christoph OETJEN","Germany","Renew Europe Group",11,45,28
"443","Jan OLBRYCHT","Poland","Group of the European People's Party (Christian Democrats)",62,95,78
"444","Juozas OLEKAS","Lithuania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",65,60,62
"445","Philippe OLIVIER","France","Identity and Democracy Group",26,33,30
"446","Younous OMARJEE","France","The Left group in the European Parliament - GUE/NGL",76,74,75
"447","Grace O'SULLIVAN","Ireland","Group of the Greens/European Free Alliance",81,89,85
"448","Urmas PAET","Estonia","Renew Europe Group",35,47,41
"449","Maite PAGAZAURTUNDÚA","Spain","Renew Europe Group",8,58,33
"450","Alessandro PANZA","Italy","Identity and Democracy Group",82,75,78
"451","Demetris PAPADAKIS","Cyprus","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",46,76,61
"452","Kostas PAPADAKIS","Greece","Non-attached Members",45,33,39
"453","Dimitrios PAPADIMOULIS","Greece","The Left group in the European Parliament - GUE/NGL",63,47,55
"454","Aldo PATRICIELLO","Italy","Group of the European People's Party (Christian Democrats)",23,15,19
"455","Jutta PAULUS","Germany","Group of the Greens/European Free Alliance",73,73,73
"456","Piernicola PEDICINI","Italy","Group of the Greens/European Free Alliance",32,72,52
"457","Mauri PEKKARINEN","Finland","Renew Europe Group",84,88,86
"458","Mikuláš PEKSA","Czechia","Group of the Greens/European Free Alliance",57,9,33
"459","Anne-Sophie PELLETIER","France","The Left group in the European Parliament - GUE/NGL",73,1,37
"460","Tsvetelina PENKOVA","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",95,37,66
"461","Sandra PEREIRA","Portugal","The Left group in the European Parliament - GUE/NGL",65,44,54
"462","Lídia PEREIRA","Portugal","Group of the European People's Party (Christian Democrats)",39,71,55
"463","Kira Marie PETER-HANSEN","Denmark","Group of the Greens/European Free Alliance",96,100,98
"464","Morten PETERSEN","Denmark","Renew Europe Group",48,28,38
"465","Pina PICIERNO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",19,60,40
"466","Tonino PICULA","Croatia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",71,83,77
"467","Markus PIEPER","Germany","Group of the European People's Party (Christian Democrats)",16,73,44
"468","Sirpa PIETIKÄINEN","Finland","Group of the European People's Party (Christian Democrats)",59,59,59
"469","Sabrina PIGNEDOLI","Italy","Non-attached Members",86,71,78
"470","João PIMENTA LOPES","Portugal","The Left group in the European Parliament - GUE/NGL",14,34,24
"471","Manu PINEDA","Spain","The Left group in the European Parliament - GUE/NGL",14,78,46
"472","Maxette PIRBAKAS","France","Identity and Democracy Group",89,85,87
"473","Giuliano PISAPIA","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",89,86,88
"474","Dragoş PÎSLARU","Romania","Renew Europe Group",57,57,57
"475","Manuel PIZARRO","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",89,42,66
"476","Rovana PLUMB","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",100,12,56
"477","Stanislav POLČÁK","Czechia","Group of the European People's Party (Christian Democrats)",15,74,44
"478","Jessica POLFJÄRD","Sweden","Group of the European People's Party (Christian Democrats)",5,67,36
"479","Peter POLLÁK","Slovakia","Group of the European People's Party (Christian Democrats)",79,90,84
"480","Clara PONSATÍ OBIOLS","Spain","Non-attached Members",91,26,58
"481","Tomasz Piotr PORĘBA","Poland","European Conservatives and Reformists Group",90,44,67
"482","Jiří POSPÍŠIL","Czechia","Group of the European People's Party (Christian Democrats)",96,91,94
"483","Nicola PROCACCINI","Italy","European Conservatives and Reformists Group",13,16,14
"484","Carles PUIGDEMONT I CASAMAJÓ","Spain","Non-attached Members",18,40,29
"485","Miroslav RADAČOVSKÝ","Slovakia","Non-attached Members",26,79,52
"486","Emil RADEV","Bulgaria","Group of the European People's Party (Christian Democrats)",71,55,63
"487","Dennis RADTKE","Germany","Group of the European People's Party (Christian Democrats)",11,31,21
"488","Samira RAFAELA","Netherlands","Renew Europe Group",85,57,71
"489","Elżbieta RAFALSKA","Poland","European Conservatives and Reformists Group",95,70,82
"490","Paulo RANGEL","Portugal","Group of the European People's Party (Christian Democrats)",25,71,48
"491","Luisa REGIMENTI","Italy","Group of the European People's Party (Christian Democrats)",47,7,27
"492","Evelyn REGNER","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",60,39,50
"493","Sira REGO","Spain","The Left group in the European Parliament - GUE/NGL",76,84,80
"494","Guido REIL","Germany","Identity and Democracy Group",78,94,86
"495","Terry REINTKE","Germany","Group of the Greens/European Free Alliance",62,72,67
"496","Karlo RESSLER","Croatia","Group of the European People's Party (Christian Democrats)",5,78,42
"497","Thijs REUTEN","Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",76,38,57
"498","Diana RIBA I GINER","Spain","Group of the Greens/European Free Alliance",89,37,63
"499","Frédérique RIES","Belgium","Renew Europe Group",72,35,54
"500","Antonio Maria RINALDI","Italy","Identity and Democracy Group",79,35,57
"501","Manuela RIPA","Germany","Group of the Greens/European Free Alliance",30,72,51
"502","Dominique RIQUET","France","Renew Europe Group",72,50,61
"503","Michèle RIVASI","France","Group of the Greens/European Free Alliance",73,12,42
"504","Jérôme RIVIÈRE","France","Identity and Democracy Group",3,36,20
"505","Inma RODRÍGUEZ-PIÑERO","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",54,24,39
"506","Eugenia RODRÍGUEZ PALOP","Spain","The Left group in the European Parliament - GUE/NGL",16,46,31
"507","María Soraya RODRÍGUEZ RAMOS","Spain","Renew Europe Group",67,28,48
"508","Sándor RÓNAI","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",88,2,45
"509","Daniela RONDINELLI","Italy","Non-attached Members",85,8,46
"510","Rob ROOKEN","Netherlands","European Conservatives and Reformists Group",88,75,82
"511","Dorien ROOKMAKER","Netherlands","Non-attached Members",60,75,68
"512","Robert ROOS","Netherlands","European Conservatives and Reformists Group",19,6,12
"513","Caroline ROOSE","France","Group of the Greens/European Free Alliance",67,33,50
"514","Bronis ROPĖ","Lithuania","Group of the Greens/European Free Alliance",87,43,65
"515","Marcos ROS SEMPERE","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",24,100,62
"516","André ROUGÉ","France","Identity and Democracy Group",32,66,49
"517","Bert-Jan RUISSEN","Netherlands","European Conservatives and Reformists Group",92,89,90
"518","Domènec RUIZ DEVESA","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",6,75,40
"519","Bogdan RZOŃCA","Poland","European Conservatives and Reformists Group",78,98,88
"520","Massimiliano SALINI","Italy","Group of the European People's Party (Christian Democrats)",64,79,72
"521","Nacho SÁNCHEZ AMOR","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",14,89,52
"522","Anne SANDER","France","Group of the European People's Party (Christian Democrats)",5,13,9
"523","Alfred SANT","Malta","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",57,7,32
"524","Silvia SARDONE","Italy","Identity and Democracy Group",51,66,58
"525","Petri SARVAMAA","Finland","Group of the European People's Party (Christian Democrats)",98,83,90
"526","Mounir SATOURI","France","Group of the Greens/European Free Alliance",37,8,22
"527","Christel SCHALDEMOSE","Denmark","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",33,10,22
"528","Ernő SCHALLER-BAROSS","Hungary","Non-attached Members",96,54,75
"529","Andreas SCHIEDER","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",2,38,20
"530","Christine SCHNEIDER","Germany","Group of the European People's Party (Christian Democrats)",80,51,66
"531","Helmut SCHOLZ","Germany","The Left group in the European Parliament - GUE/NGL",1,25,13
"532","Annie SCHREIJER-PIERIK","Netherlands","Group of the European People's Party (Christian Democrats)",0,41,20
"533","Liesje SCHREINEMACHER","Netherlands","Renew Europe Group",1,97,49
"534","Sven SCHULZE","Germany","Group of the European People's Party (Christian Democrats)",28,98,63
"535","Joachim SCHUSTER","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",82,50,66
"536","Andreas SCHWAB","Germany","Group of the European People's Party (Christian Democrats)",24,72,48
"537","Stéphane SÉJOURNÉ","France","Renew Europe Group",57,13,35
"538","Monica SEMEDO","Luxembourg","Renew Europe Group",26,63,44
"539","Nico SEMSROTT","Germany","Group of the Greens/European Free Alliance",71,24,48
"540","Radosław SIKORSKI","Poland","Group of the European People's Party (Christian Democrats)",62,3,32
"541","Michal ŠIMEČKA","Slovakia","Renew Europe Group",43,24,34
"542","Birgit SIPPEL","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",20,24,22
"543","Sara SKYTTEDAL","Sweden","Group of the European People's Party (Christian Democrats)",37,24,30
"544","Massimiliano SMERIGLIO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3,7,5
"545","Michaela ŠOJDROVÁ","Czechia","Group of the European People's Party (Christian Democrats)",52,13,32
"546","Jordi SOLÉ","Spain","Group of the Greens/European Free Alliance",1,54,28
"547","Susana SOLÍS PÉREZ","Spain","Renew Europe Group",50,12,31
"548","Martin SONNEBORN","Germany","Non-attached Members",48,28,38
"549","Sylwia SPUREK","Poland","Group of the Greens/European Free Alliance",94,100,97
"550","Maria SPYRAKI","Greece","Group of the European People's Party (Christian Democrats)",59,80,70
"551","Sergei STANISHEV","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",17,69,43
"552","Ivan ŠTEFANEC","Slovakia","Group of the European People's Party (Christian Democrats)",30,10,20
"553","Nicolae ŞTEFĂNUȚĂ","Romania","Renew Europe Group",42,18,30
"554","Tineke STRIK","Netherlands","Group of the Greens/European Free Alliance",87,39,63
"555","Ramona STRUGARIU","Romania","Renew Europe Group",99,79,89
"556","Beata SZYDŁO","Poland","European Conservatives and Reformists Group",51,19,35
"557","Linea SØGAARD-LIDELL","Denmark","Renew Europe Group",90,36,63
"558","Antonio TAJANI","Italy","Group of the European People's Party (Christian Democrats)",92,83,88
"559","Paul TANG","Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",11,82,46
"560","Marc TARABELLA","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3,15,9
"561","Dominik TARCZYŃSKI","Poland","European Conservatives and Reformists Group",98,25,62
"562","Annalisa TARDINO","Italy","Identity and Democracy Group",9,100,54
"563","Vera TAX","Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",16,59,38
"564","Cristian TERHEŞ","Romania","European Conservatives and Reformists Group",57,60,58
"565","Riho TERRAS","Estonia","Group of the European People's Party (Christian Democrats)",92,35,64
"566","Hermann TERTSCH","Spain","European Conservatives and Reformists Group",91,90,90
"567","Barbara THALER","Austria","Group of the European People's Party (Christian Democrats)",33,49,41
"568","Róża THUN UND HOHENSTEIN","Poland","Group of the European People's Party (Christian Democrats)",8,59,34
"569","Irene TINAGLI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",27,20,24
"570","Tomas TOBÉ","Sweden","Group of the European People's Party (Christian Democrats)",71,76,74
"571","Grzegorz TOBISZOWSKI","Poland","European Conservatives and Reformists Group",99,69,84
"572","Patrizia TOIA","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",6,12,9
"573","Irène TOLLERET","France","Renew Europe Group",8,56,32
"574","Eugen TOMAC","Romania","Group of the European People's Party (Christian Democrats)",36,4,20
"575","Valdemar TOMAŠEVSKI","Lithuania","European Conservatives and Reformists Group",79,32,56
"576","Romana TOMC","Slovenia","Group of the European People's Party (Christian Democrats)",58,7,32
"577","Yana TOOM","Estonia","Renew Europe Group",86,95,90
"578","Nils TORVALDS","Finland","Renew Europe Group",72,67,70
"579","Evžen TOŠENOVSKÝ","Czechia","European Conservatives and Reformists Group",58,52,55
"580","Edina TÓTH","Hungary","Non-attached Members",16,58,37
"581","Marie TOUSSAINT","France","Group of the Greens/European Free Alliance",6,93,50
"582","Isabella TOVAGLIERI","Italy","Identity and Democracy Group",11,32,22
"583","Véronique TRILLET-LENOIR","France","Renew Europe Group",81,64,72
"584","László TRÓCSÁNYI","Hungary","Non-attached Members",44,77,60
"585","Dragoş TUDORACHE","Romania","Renew Europe Group",88,8,48
"586","Mihai TUDOSE","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",33,79,56
"587","Milan UHRÍK","Slovakia","Non-attached Members",83,38,60
"588","István UJHELYI","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",90,85,88
"589","Miguel URBÁN CRESPO","Spain","The Left group in the European Parliament - GUE/NGL",79,41,60
"590","Ernest URTASUN","Spain","Group of the Greens/European Free Alliance",12,12,12
"591","Nils UŠAKOVS","Latvia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",85,49,67
"592","Viktor USPASKICH","Lithuania","Non-attached Members",72,65,68
"593","Inese VAIDERE","Latvia","Group of the European People's Party (Christian Democrats)",11,8,10
"594","Monika VANA","Austria","Group of the Greens/European Free Alliance",44,15,30
"595","Kathleen VAN BREMPT","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",82,53,68
"596","Tom VANDENDRIESSCHE","Belgium","Identity and Democracy Group",7,83,45
"597","Tom VANDENKENDELAERE","Belgium","Group of the European People's Party (Christian Democrats)",4,94,49
"598","Johan VAN OVERTVELDT","Belgium","European Conservatives and Reformists Group",63,40,52
"599","Kim VAN SPARRENTAK","Netherlands","Group of the Greens/European Free Alliance",85,11,48
"600","Hilde VAUTMANS","Belgium","Renew Europe Group",11,83,47
"601","Marie-Pierre VEDRENNE","France","Renew Europe Group",4,10,7
"602","Sabine VERHEYEN","Germany","Group of the European People's Party (Christian Democrats)",69,18,44
"603","Guy VERHOFSTADT","Belgium","Renew Europe Group",29,85,57
"604","Harald VILIMSKY","Austria","Identity and Democracy Group",35,35,35
"605","Idoia VILLANUEVA RUIZ","Spain","The Left group in the European Parliament - GUE/NGL",65,77,71
"606","Nikolaj VILLUMSEN","Denmark","The Left group in the European Parliament - GUE/NGL",64,64,64
"607","Loránt VINCZE","Romania","Group of the European People's Party (Christian Democrats)",64,56,60
"608","Marianne VIND","Denmark","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",100,52,76
"609","Henna VIRKKUNEN","Finland","Group of the European People's Party (Christian Democrats)",0,72,36
"610","Petar VITANOV","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",77,57,67
"611","Viola VON CRAMON-TAUBADEL","Germany","Group of the Greens/European Free Alliance",93,9,51
"612","Alexandr VONDRA","Czechia","European Conservatives and Reformists Group",14,55,34
"613","Axel VOSS","Germany","Group of the European People's Party (Christian Democrats)",39,11,25
"614","Elissavet VOZEMBERG-VRIONIDI","Greece","Group of the European People's Party (Christian Democrats)",28,76,52
"615","Veronika VRECIONOVÁ","Czechia","European Conservatives and Reformists Group",0,11,6
"616","Lucia VUOLO","Italy","Non-attached Members",11,19,15
"617","Adrián VÁZQUEZ LÁZARA","Spain","Renew Europe Group",75,79,77
"618","Mick WALLACE","Ireland","The Left group in the European Parliament - GUE/NGL",61,70,66
"619","Maria WALSH","Ireland","Group of the European People's Party (Christian Democrats)",88,66,77
"620","Marion WALSMANN","Germany","Group of the European People's Party (Christian Democrats)",19,22,20
"621","Jörgen WARBORN","Sweden","Group of the European People's Party (Christian Democrats)",17,91,54
"622","Witold Jan WASZCZYKOWSKI","Poland","European Conservatives and Reformists Group",64,15,40
"623","Manfred WEBER","Germany","Group of the European People's Party (Christian Democrats)",72,31,52
"624","Charlie WEIMERS","Sweden","European Conservatives and Reformists Group",37,34,36
"625","Pernille WEISS","Denmark","Group of the European People's Party (Christian Democrats)",13,43,28
"626","Emma WIESNER","Sweden","Renew Europe Group",91,30,60
"627","Michal WIEZIK","Slovakia","Group of the European People's Party (Christian Democrats)",71,0,36
"628","Iuliu WINKLER","Romania","Group of the European People's Party (Christian Democrats)",69,16,42
"629","Angelika WINZIG","Austria","Group of the European People's Party (Christian Democrats)",33,6,20
"630","Isabel WISELER-LIMA","Luxembourg","Group of the European People's Party (Christian Democrats)",88,30,59
"631","Jadwiga WIŚNIEWSKA","Poland","European Conservatives and Reformists Group",2,59,30
"632","Tiemo WÖLKEN","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",63,92,78
"633","Lara WOLTERS","Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",83,70,76
"634","Salima YENBOU","France","Group of the Greens/European Free Alliance",96,27,62
"635","Stéphanie YON-COURTIN","France","Renew Europe Group",72,7,40
"636","Elena YONCHEVA","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",62,76,69
"637","Chrysoula ZACHAROPOULOU","France","Renew Europe Group",75,0,38
"638","Jan ZAHRADIL","Czechia","European Conservatives and Reformists Group",48,95,72
"639","Anna ZALEWSKA","Poland","European Conservatives and Reformists Group",81,80,80
"640","Stefania ZAMBELLI","Italy","Identity and Democracy Group",21,24,22
"641","Marco ZANNI","Italy","Identity and Democracy Group",36,56,46
"642","Javier ZARZALEJOS","Spain","Group of the European People's Party (Christian Democrats)",40,39,40
"643","Tatjana ŽDANOKA","Latvia","Group of the Greens/European Free Alliance",99,11,55
"644","Tomáš ZDECHOVSKÝ","Czechia","Group of the European People's Party (Christian Democrats)",79,11,45
"645","Roberts ZĪLE","Latvia","European Conservatives and Reformists Group",17,21,19
"646","Bernhard ZIMNIOK","Germany","Identity and Democracy Group",17,99,58
"647","Kosma ZŁOTOWSKI","Poland","European Conservatives and Reformists Group",23,93,58
